service_id,date,exception_type
444,20190205,1
444,20190206,1
444,20190207,1
444,20190401,1
444,20190402,1
444,20190403,1
444,20190404,1
444,20190409,1
444,20190410,1
444,20190411,1
1569,20190208,1
1569,20190215,1
1569,20190315,1
1569,20190322,1
1569,20190329,1
1569,20190405,1
1569,20190412,1
1569,20190419,1
1569,20190426,1
1569,20190503,1
1569,20190510,1
1773,20190209,1
1773,20190216,1
1773,20190316,1
1773,20190323,1
1773,20190330,1
1773,20190406,1
1773,20190413,1
1773,20190420,1
1773,20190427,1
1773,20190504,1
1773,20190511,1
1922,20190210,1
1922,20190217,1
1922,20190407,1
1922,20190414,1
1922,20190421,1
1922,20190428,1
1922,20190505,1
1922,20190512,1
2061,20190211,1
2061,20190212,1
2061,20190213,1
2061,20190214,1
2061,20190408,1
2061,20190415,1
2061,20190416,1
2061,20190417,1
2061,20190418,1
2061,20190422,1
2061,20190423,1
2061,20190424,1
2061,20190425,1
2061,20190429,1
2061,20190430,1
2061,20190501,1
2061,20190502,1
2061,20190506,1
2061,20190507,1
2061,20190508,1
2061,20190509,1
2061,20190513,1
2061,20190514,1
2061,20190515,1
2321,20190218,1
2321,20190219,1
2321,20190220,1
2321,20190221,1
2321,20190311,1
2321,20190312,1
2321,20190313,1
2321,20190314,1
2321,20190318,1
2321,20190319,1
2321,20190320,1
2321,20190321,1
2321,20190325,1
2321,20190326,1
2321,20190327,1
2321,20190328,1
2424,20190222,1
2437,20190223,1
2462,20190224,1
2504,20190225,1
2504,20190226,1
2592,20190227,1
2592,20190228,1
2592,20190304,1
2592,20190305,1
2592,20190306,1
2592,20190307,1
2611,20190301,1
2623,20190302,1
2648,20190303,1
2814,20190308,1
2823,20190309,1
2847,20190310,1
2847,20190317,1
2847,20190324,1
2888,20190331,1
