from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type
53912,53907,,,85953305,81100220,0
53929,53923,,,86168009,85170697,0
75056,54111,,,86184705,85616173,0
54514,54515,,,85950183,85929762,0
53867,53865,,,81927754,85940164,3
407408,407409,,,85166843,85953040,0
53897,54005,,,81085931,85929402,0
54005,55286,,,85949696,86193609,0
54123,54600,,,85595140,85606672,0
1542395,1542396,,,85405461,85394590,0
407408,75041,,,85928056,81067333,0
54815,54824,,,81074852,81074584,0
54615,54617,,,85161224,86170864,1
54452,54451,,,85405961,85393637,0
54502,54498,,,85935843,85957463,0
75041,407408,,,81083223,85927735,0
54515,54927,,,85926201,85151696,0
381627,407409,,,81094970,85151696,0
54257,55026,,,81081326,81074657,0
407408,75041,,,81095564,81088737,0
54514,1542821,,,86166010,81087912,0
54635,54632,,,81075478,81054523,0
521121,521116,,,81055346,81070864,0
53867,53865,,,86178340,81070267,3
55245,55246,,,85408273,85388566,0
55245,55246,,,85395722,85388566,0
54399,54397,,,81067618,86187548,0
54178,54151,,,81101447,86187548,0
54502,54498,,,85926012,85169200,0
859844,54682,,,81074933,81065512,0
407409,407408,,,81081680,85937338,0
54822,54823,,,85948662,85401419,0
54309,54311,,,81055234,86177787,0
53861,54083,,,85168737,85173820,0
54513,54514,,,85952385,85947985,0
54394,134817,,,83374755,85948099,0
521118,521120,,,85617798,85150425,0
75056,54111,,,86173256,86187295,0
54005,55286,,,81064975,86179877,0
54866,54768,,,81075992,81085165,3
54375,54372,,,81087089,81056430,0
1542280,1542343,,,85597620,81060349,0
55286,54005,,,85615389,85940909,0
54635,54632,,,81085613,85940909,0
407409,407408,,,85148243,81063672,0
54514,54513,,,85941908,85931129,0
55286,55246,,,85611985,82422539,0
54399,54397,,,81099004,84897641,0
54218,54633,,,85946102,85147668,0
54204,54203,,,85391841,81073769,0
54858,54855,,,81927754,81073769,0
54372,54375,,,81927754,81073769,0
54515,54927,,,85413658,81073769,0
54645,54646,,,85386605,85395939,0
55286,55246,,,85609464,81074418,0
54632,54911,,,85159885,81074418,0
54370,54371,,,86178110,85954986,0
859914,54643,,,81074852,81075070,0
55286,55246,,,85615389,81053733,0
54632,54910,,,86188702,81090186,0
54216,54638,,,81058289,85391345,0
54600,54602,,,85945308,85952963,0
521121,521116,,,85606045,85951374,0
1542821,1542822,,,81078793,81057010,0
54399,54397,,,81099824,81066708,0
54204,54295,,,85391841,85604430,0
53867,53865,,,86173256,81064708,3
54632,54912,,,81077323,85172776,3
54927,54515,,,81077570,85401311,0
54006,55245,,,81090630,85927959,0
54035,54030,,,85948662,85927959,0
53861,55246,,,86171762,85939478,0
54824,54823,,,85617798,81095111,0
54632,54635,,,85159885,85936959,0
859723,55245,,,81059128,81055655,0
54947,54600,,,83345455,81085540,0
581248,581249,,,81072799,81073282,0
54910,54638,,,81067852,81073282,0
54309,54311,,,81096848,81062173,0
53929,53923,,,86188575,85949910,0
54911,54635,,,85613081,85949910,0
407408,75041,,,81095564,81076068,0
54218,54633,,,81083347,81057142,0
54514,54515,,,85951154,85948058,0
54204,54203,,,81072217,81089953,0
54005,55286,,,85952128,85933944,0
54129,54209,,,81053617,81092434,0
54452,54451,,,81057010,81086790,0
521120,521120,,,85607391,85160493,0
521120,521120,,,85614770,85160493,0
54617,54615,,,85930387,81074285,0
54638,54633,,,85930387,81074285,0
407408,75041,,,86193336,81068467,0
54602,54600,,,81926866,81070933,0
54632,54635,,,85956306,85926235,0
54635,54632,,,85927844,85413621,0
54615,54615,,,81065521,81060008,1
1542509,1542512,,,85929356,86174825,0
407408,407409,,,85149727,81081680,0
1542821,54514,,,81086041,86190167,0
859723,55245,,,85594302,86182576,0
54866,54768,,,81078069,81060121,3
1542822,1542821,,,85161874,81053252,0
1542236,1542727,,,85930309,81076383,0
54005,55286,,,85931282,86182031,0
54617,54615,,,83376070,85151830,1
54209,391720,,,81096578,86185814,0
55044,55043,,,81085471,81087158,0
54204,53898,,,81062721,81055349,0
53861,54083,,,85173816,85939519,0
53925,53924,,,85412694,85407612,0
54204,54295,,,85409532,81063232,0
381627,75041,,,81062246,85597915,0
54967,54394,,,85949178,81078671,0
54815,54816,,,85939265,81060196,0
54632,54911,,,85952152,81100847,0
1542821,1542822,,,81062556,81087422,0
55133,55132,,,81085314,85940803,0
53867,53865,,,85597991,81058446,3
54910,54638,,,85387314,85388752,0
54030,54035,,,85943135,85925100,0
54910,54638,,,81090630,85413818,0
1542821,1542822,,,81085676,81066881,0
54635,54632,,,85173330,85614562,0
54006,55245,,,81073969,85938772,0
54006,55245,,,84879034,85938772,0
54515,1542822,,,81058289,81072252,0
521120,521116,,,85148341,86169264,0
1542395,1542396,,,85950501,86178108,0
54413,54415,,,85392275,85405480,0
54365,54737,,,85602750,81955297,0
53925,53924,,,85935042,81955297,0
53925,53924,,,81089085,81955297,0
54514,1542821,,,81058848,81067249,0
407409,407408,,,81081680,86164599,0
54514,54515,,,85405461,85385668,0
54643,54642,,,82393977,85937950,0
54452,54451,,,86176189,81070711,0
53898,54037,,,85153517,86195708,0
54084,54086,,,85935885,85949449,0
54216,54638,,,81058289,81102040,0
54399,54397,,,81059029,85401994,0
1542496,1542495,,,83349531,85614000,0
521121,521121,,,85956851,85948837,0
54005,55286,,,85954210,85948837,0
54399,54397,,,81059029,85410751,0
54642,54643,,,85956904,85955089,0
54209,391720,,,85957285,85937087,0
54037,54111,,,81063217,81098069,0
54515,54927,,,85951459,81096667,0
54515,54927,,,81055354,81096667,0
54037,54203,,,85613524,81096667,0
521118,521121,,,85925509,81095853,0
53994,53993,,,81055765,81081617,0
381627,407408,,,83365186,81055731,0
381627,407408,,,81090000,81055731,0
55067,54646,,,81094503,85599190,0
54006,55245,,,85412245,85607391,0
55123,55044,,,81090756,81071578,0
54515,54514,,,81085314,81071578,0
521120,521118,,,85152766,81074269,0
54947,54600,,,85956588,85939945,0
54646,54645,,,86185339,81082051,0
55258,407410,,,82404952,81088825,0
54005,53861,,,85945308,85164794,0
75041,381627,,,81074933,85411489,0
521116,521121,,,85617624,85173702,0
54632,54910,,,86189526,81070449,0
1542596,1542757,,,81100958,81099960,0
54005,55286,,,85954210,81074954,0
54218,54632,,,82401394,86176539,0
54617,54615,,,81096885,85399764,1
54642,54643,,,81097645,85927908,0
54635,54632,,,85927844,86173707,0
53898,54037,,,84087149,81083476,0
