route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
62481,2648,86078371,RET:M009:448351,Slinge,448351,,0,,771716,1,1
62481,2648,86082866,RET:M009:448331,De Akkers,448331,,0,,771715,1,1
62481,2648,86082871,RET:M009:448334,Rotterdam Centraal,448334,,1,,771669,1,1
62481,2648,86089546,RET:M009:448327,De Akkers,448327,,0,,771715,1,1
63063,2648,86086026,RET:M007:447585,Nesselande,447585,,1,,771665,1,1
63063,2648,86090743,RET:M007:447864,Nesselande,447864,,1,,771665,1,1
63062,2648,86084097,RET:M006:447756,Pernis,447756,,0,,771683,1,1
62482,2648,86079878,RET:M010:448493,Den Haag Centraal,448493,,1,,771697,1,1
62325,2648,86081907,RET:M008:447959,De Terp,447959,,1,,771695,1,1
62481,2648,86081501,RET:M009:448410,Rotterdam Centraal,448410,,1,,771719,1,1
63063,2648,86084947,RET:M007:447931,Parkweg,447931,,0,,771730,1,1
62481,2648,86094245,RET:M009:448306,Rotterdam Centraal,448306,,1,,771696,1,1
62481,2648,86093516,RET:M009:448421,Slinge,448421,,0,,771716,1,1
62481,2648,86092864,RET:M009:448401,De Akkers,448401,,0,,771674,1,1
62482,2648,86091614,RET:M010:448533,Slinge,448533,,0,,771726,1,1
62481,2648,86088190,RET:M009:448428,Rotterdam Centraal,448428,,1,,771696,1,1
62481,2648,86077021,RET:M009:448389,Slinge,448389,,0,,771716,1,1
63062,2648,86092328,RET:M006:447624,Binnenhof,447624,,1,,768821,1,1
62482,2648,86087884,RET:M010:448458,Slinge,448458,,0,,771735,1,1
62325,2648,86093700,RET:M008:448014,De Terp,448014,,1,,771695,1,1
62481,2648,86084799,RET:M009:448268,Rotterdam Centraal,448268,,1,,771672,1,1
62481,2648,86084867,RET:M009:448340,Rotterdam Centraal,448340,,1,,771696,1,1
62325,2648,86081914,RET:M008:447951,De Terp,447951,,1,,771695,1,1
63063,2648,86084946,RET:M007:447937,Alexander,447937,,0,,771730,1,1
63063,2648,86080352,RET:M007:447917,Nesselande,447917,,1,,771665,1,1
62482,2648,86083757,RET:M010:448437,Slinge,448437,,0,,771735,1,1
63062,2648,86090802,RET:M006:447748,Pernis,447748,,0,,771683,1,1
63062,2648,86089266,RET:M006:447712,Pernis,447712,,0,,771683,1,1
63063,2648,86079551,RET:M007:447811,Schiedam Centrum,447811,,0,,771778,1,1
62482,2648,86079062,RET:M010:448594,Slinge,448594,,0,,771726,1,1
62481,2648,86078367,RET:M009:448356,Rotterdam Centraal,448356,,1,,771672,1,1
63063,2648,86077533,RET:M007:447843,Schiedam Centrum,447843,,0,,771778,1,1
62481,2648,86078366,RET:M009:448357,De Akkers,448357,,0,,771715,1,1
62481,2648,86081175,RET:M009:448282,Rotterdam Centraal,448282,,1,,771696,1,1
62481,2648,86081174,RET:M009:448283,Slinge,448283,,0,,771690,1,1
62481,2648,86081172,RET:M009:448281,De Akkers,448281,,0,,771674,1,1
62481,2648,86077860,RET:M009:448261,De Akkers,448261,,0,,771674,1,1
62481,2648,86080307,RET:M009:448363,Slinge,448363,,0,,771690,1,1
63063,2648,86080072,RET:M007:447895,Nesselande,447895,,1,,771665,1,1
62481,2648,86093108,RET:M009:448239,De Akkers,448239,,0,,771715,1,1
62481,2648,86093104,RET:M009:448234,Rotterdam Centraal,448234,,1,,771672,1,1
62325,2648,86079399,RET:M008:447983,De Terp,447983,,1,,771695,1,1
62482,2648,86081212,RET:M010:448447,Slinge,448447,,0,,771726,1,1
62481,2648,86091568,RET:M009:448377,De Akkers,448377,,0,,771715,1,1
62482,2648,86090784,RET:M010:448580,Slinge,448580,,0,,771726,1,1
62482,2648,86091611,RET:M010:448536,Den Haag Centraal,448536,,1,,771697,1,1
62325,2648,86090544,RET:M008:447991,De Terp,447991,,1,,771695,1,1
63063,2648,86090367,RET:M007:447885,Nesselande,447885,,1,,771665,1,1
63062,2648,86090265,RET:M006:447673,Binnenhof,447673,,1,,768821,1,1
63062,2648,86090264,RET:M006:447672,Kralingse Zoom,447672,,0,,768850,1,1
63063,2648,86088762,RET:M007:447857,Capelsebrug,447857,,1,,771702,1,1
63063,2888,86078196,RET:M007:419213,Schiedam Centrum,419213,,0,,771778,1,1
62481,2888,86087094,RET:M009:419710,De Akkers,419710,,0,,771674,1,1
63063,2888,86081853,RET:M007:419293,Nesselande,419293,,1,,771777,1,1
